Event Name;Event Type;Event Date;Affected Countries;Location;Country Coordinates(Lat);Country Coordinates(Long);Event Description
Birmingham Tornado;Tornado;1931-06-14 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"A strong F3 tornado struck the suburbs of Birmingham killing 1 woman and injuring many other people.[
]citation needed"
Plettenberg, Germany Tornado;Tornado;1931-06-17 00:00:00;Germany;N/A;51.5;10.5;"A tornado damaged the town of Willertshagen and Plettenberg in North Rhine-Westphalia. 4 people were killed and 80 others were injured.[
]citation needed"
Lublin tornado;Tornado;1931-07-20 00:00:00;Poland;N/A;52;20;"A strong F4 (maybe a low F5) struck Lublin and Zemborzyce killing 3 people and injuring many others along a 20 km path.[
]citation needed"
Nurmijärvi – Konginkangas;Tornado;1932-08-04 00:00:00;Finland;N/A;64;26;"6 tornadoes (one F3) tracked 20 km.
"
Kiuruvesi;Tornado;1934-07-11 00:00:00;Finland;N/A;64;26;"F4 tornado, strongest one in Finland.
"
Kiuruvesi;Tornado;1934-07-12 00:00:00;Finland;N/A;64;26;"F4 tornado, strongest one in Finland.
"
Kiuruvesi;Tornado;1934-07-13 00:00:00;Finland;N/A;64;26;"F4 tornado, strongest one in Finland.
"
Kiuruvesi;Tornado;1934-07-14 00:00:00;Finland;N/A;64;26;"F4 tornado, strongest one in Finland.
"
Kiuruvesi;Tornado;1934-07-15 00:00:00;Finland;N/A;64;26;"F4 tornado, strongest one in Finland.
"
Kyrenia Tornado;Tornado;1934-10-17 00:00:00;Cyprus;N/A;35;33;"A strong tornado struck the city of Kyrenia causing the collapse of the church tower and the roof of a school killing 3 children.[
]citation needed"
Düsseldorf,Germany Tornado;Tornado;1936-01-10 00:00:00;Germany;N/A;51.5;10.5;"An F4 tornado damaged Düsseldorf causing extensive damage, 2 fatalities and 37 injuries along a 10 km path. On the same day an F3 tornado struck Hamm (Sieg).[
]citation needed"
Wiepkenhagen, Germany Tornado;Tornado;1936-07-15 00:00:00;Germany;N/A;51.5;10.5;"A violent tornado struck Wiepkenhagen (Mecklenburg-Vorpommern) causing severe damage like an F4 tornado.[
]citation needed"
Mottola, Italy Tornado;Tornado;1937-09-13 00:00:00;Italy;Apulia, Italy;41.12066;16.86982;"A long-track F3 tornado caused severe damage to the town of Mottola, Martina Franca and in the Monopoli area traveling for 43 km with severe damage to homes and trees. 10 people were injured.[
]citation needed"
Nienhagen, Germany Tornado;Tornado;1938-07-08 00:00:00;Germany;N/A;51.5;10.5;"A long-track F2 tornado caused damage to Nienhagen, Lower Saxony up to Uelzen traveling for 75 km.[
]citation needed"
"1945 Moscow tornado
";Tornado;1945-09-02 00:00:00;Russia;"Moscow, Russia
";55.75222;37.61556;"A strong tornado with a diameter of 50 to 300 meters, with a fast forward speed 60 km/h passed 12-15 kilometers and destroyed two villages near Moscow - Khomutovo and Oboldino. The tornado was accompanied by a large hail the size of a chicken egg.
"
Bavaria, Germany Tornadoes;Tornado;1948-07-22 00:00:00;Germany;N/A;51.5;10.5;"3 tornadoes were confirmed. A strong tornado hit Nürnberg city area destroying 40 homes, killing 4 people and injuring 11 others. Another strong tornado caused damage from Auerbach up to Grafenwöhr killing a 12-year-old boy by falling debris.[
]citation needed"
Buckinghamshire – Cambridgeshire, England tornadoes;Tornado;1950-05-21 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"An F2 tornado crossed Britain for 107 km (one of the longest-lived tornadoes in Europe) from Little London (Buckinghamshire) to Coveney (Cambridgeshire). Three other F1 tornadoes were documented on the same day.[
]citation needed"
Veluwe, Gelderland – Haulerwijk, Friesland, Netherlands tornadoes;Tornado;1950-08-23 00:00:00;Netherlands;GelderlandFriesland, Netherlands;52;5.83333;"Strongest recorded tornado in Netherlands, F5 damage[ in 50 kilometre long path in Veluwe forest.]citation needed[
]citation needed"
Osterholz-Scharmbeck, Germany tornado;Tornado;1951-07-11 00:00:00;Germany;Lower Saxony, Germany;52.83333;9.16667;"A strong tornado (F3) caused severe damage for 52 km path from Hude to Gnarrenburg in Lower Saxony.[
]citation needed"
"Khimki tornado
";Tornado;1951-08-17 00:00:00;Russia;Khimki, Russia;55.89704;37.42969;"A strong and multivortex tornado, accompanied by rain and hail swept through the Khimki district. The village of Skhodnya suffered the most, where a wooden railway platform was overturned.
"
Turin, Piemonte tornado;Tornado;1953-05-29 00:00:00;Italy;Turin, Italy;45.07049;7.68682;"A F1 tornado struck the centre of Turin, causing considerable damage and the collapse of part of the roof of the Mole. 5 people died in the storm.[
]citation needed"
Castelo Branco, Portugal tornado;Tornado;1954-11-06 00:00:00;Portugal;N/A;39.6945;-8.13057;"A Strong F3 tornado struck the town of Castelo Branco causing extreme damage to the city, killing 5 people and injuring 220 others.[
]citation needed"
United Kingdom tornado Outbreak;Tornado;1954-12-08 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"6 tornadoes were confirmed that day over England and in particular over the western parts of the Greater London area where 3 tornadoes (1 of them caused F3 damage from Gunnersbury to Southgate) were confirmed. In total there was 1 F3 tornado, 4 F1 tornadoes and 2 F0 tornadoes.[
]citation needed"
Naro-Fominsk, Russia Tornado Outbreak;Tornado;1956-08-25 00:00:00;Russia;Naro-Fominsk, Russia;55.38752;36.73307;"A group of long-track F2 tornadoes caused severe damage on an 80 km path in a 200-350m wide area.
"
Robecco Pavese tornado;Tornado;1957-06-16 00:00:00;Italy;Robecco Pavese, Italy;45.04836;9.15015;"A violent tornado struck the villages of Argine, Robecco Pavese and Vallescuropasso causing severe damage. The tornado was an F4 tornado, but at some point it made F5 damage. 7 people died and about 80 were injured on a 10 km path. This is the second most violent tornado ever to hit the country.[
]citation needed"
Rawa Mazowiecka and Nowe Miasto tornado;Tornado;1958-05-15 00:00:00;Poland;Rawa Mazowiecka and Nowe Miasto, Poland;51.76437;20.25493;"
"
Rawa Mazowiecka and Nowe Miasto tornado;Tornado;1958-05-16 00:00:00;Poland;Rawa Mazowiecka and Nowe Miasto, Poland;51.76437;20.25493;"
"
Rzeszów, Poland tornado;Tornado;1960-05-20 00:00:00;Poland,Ukraine;N/A;52,49;20,32;"Tornado outbreak over south Poland and north Ukraine with 8 tornadoes. 1 was an F4/F5 tornado that struck the town of Niechobrz causing the total destruction of some houses and killing 3 people. Another 2 victims were recorded in Dynów and Gorliczyna.
"
United Kingdom tornado Outbreak;Tornado;1960-08-26 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"A light tornado outbreak over the south part of England with 13 tornadoes over a 2-day period. Most of them were at F0/F1 strength. The strongest tornadoes (F1) struck Hornchurch, (Greater London) and Poulton, Gloucestershire[
]citation needed"
United Kingdom tornado Outbreak;Tornado;1960-08-27 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"A light tornado outbreak over the south part of England with 13 tornadoes over a 2-day period. Most of them were at F0/F1 strength. The strongest tornadoes (F1) struck Hornchurch, (Greater London) and Poulton, Gloucestershire[
]citation needed"
Évreux,France Tornadoes;Tornado;1961-05-04 00:00:00;France;N/A;46;2;"Two powerful F3 tornadoes struck Évreux and Cormeilles. In the city of Évreux 1 person died and 100 others were injured.[
]citation needed"
Bavaria,Germany Tornadoes;Tornado;1961-05-14 00:00:00;Germany;N/A;51.5;10.5;"A strong F3 tornado struck Gangkofen and Wurmannsquick traveling for 22 km and injuring 5 people. A second tornado struck Mitterskirchen and Hirschhorn traveling for 30 km and producing F2 damage. Both tornadoes caused extensive damage.[
]citation needed"
Central Europe Tornado Outbreak;Tornado;1961-08-08 00:00:00;Germany,Austria;N/A;51.5,47.33333;10.5,13.33333;"All the tornadoes were classified as F1. They caused severe damage near Hamburg, while an F1 tornado struck Innsbruck producing large hail and killing 1 person.[
]citation needed"
Pomezia tornado;Tornado;1961-10-30 00:00:00;Italy;Pomezia, Italy;41.66931;12.50124;"An F3 tornado travelled 20 km on land near Rome. 25 houses in wood and bricks completely destroyed; six factories strongly damaged; some concrete houses completely destroyed. 3 people died and 60 were injured.
"
Holstebro, Denmark tornado;Tornado;1962-02-11 00:00:00;Denmark;N/A;56;10;"A powerful F3 tornado struck Holstebro in Denmark causing devastating damage. More than 100 houses badly damaged or destroyed making this event the most devastating tornado in Denmark's history. Maybe the tornado was a low F4.[
]citation needed"
Kirovo-Chepetsk,Russia tornado;Tornado;1964-05-20 00:00:00;Russia;N/A;60;100;"A long-track tornado struck the Kirov Oblast and Udmurtia travelling for 175 km from Kirovo-Chepetsk to Glazov. It was classified as an F2 tornado.[
]citation needed"
Lower Saxony, Germany tornadoes;Tornado;1964-09-15 00:00:00;Germany;N/A;51.5;10.5;"3 F3 tornadoes struck several villages in Lower Saxony. The first, an F3 tornado, struck on the 15th killing 1 person and injuring 20 others on a 20 km path from the town of Minden to Stadthagen. The other 2 tornadoes struck Mellendorf and Schessinghausen.[}
]citation needed"
Lower Saxony, Germany tornadoes;Tornado;1964-09-16 00:00:00;Germany;N/A;51.5;10.5;"3 F3 tornadoes struck several villages in Lower Saxony. The first, an F3 tornado, struck on the 15th killing 1 person and injuring 20 others on a 20 km path from the town of Minden to Stadthagen. The other 2 tornadoes struck Mellendorf and Schessinghausen.[}
]citation needed"
Parma, Italy tornado;Tornado;1965-07-04 00:00:00;Italy;N/A;42.83333;12.83333;"A strong tornado struck the province of Parma causing severe damage and 9 fatalities over a 22 km path. Maybe this tornado was a strong F3. On this day several more tornadoes were produced over the Po Valley.
"
Western Europe tornado outbreaks of 1967;Tornado;1967-06-24 00:00:00;France,Netherlands,Belgium;N/A;46,52.25,50.75;2,5.75,4.5;"Violent tornado outbreak with 8 tornadoes that swept over France (5) Belgium (1) and the Netherlands (2). In France an F5 tornado destroyed the town of Palluel killing 6 people. Shortly after an F4 destroyed Pommereuil killing 2 other people. Both tornadoes traveled for 23 km. In the Netherlands 2 F3 tornadoes caused the deaths of seven people, one of these reached F3 strength. In total there were 2 F2, 4 F3, 1 F4 and 1 F5 tornadoes.[
]citation needed"
Western Europe tornado outbreaks of 1967;Tornado;1967-06-25 00:00:00;France,Netherlands,Belgium;N/A;46,52.25,50.75;2,5.75,4.5;"Violent tornado outbreak with 8 tornadoes that swept over France (5) Belgium (1) and the Netherlands (2). In France an F5 tornado destroyed the town of Palluel killing 6 people. Shortly after an F4 destroyed Pommereuil killing 2 other people. Both tornadoes traveled for 23 km. In the Netherlands 2 F3 tornadoes caused the deaths of seven people, one of these reached F3 strength. In total there were 2 F2, 4 F3, 1 F4 and 1 F5 tornadoes.[
]citation needed"
German Black Forest tornado;Tornado;1968-07-10 00:00:00;Germany;N/A;51.5;10.5;"A long-track F3 tornado struck Uberach and other villages in France, in Alsace region, causing 3 injuries. The same supercell produced the powerful F4 tornado that struck Ittersbach and Pforzheim (Baden-Württemberg) killing 2 people (+ within weeks 130 more people were killed by collapsed buildings) and injuring 300 others.
"
Catania, Italy tornado;Tornado;1968-10-31 00:00:00;Italy;Sicily, Italy;37.62304;13.93457;"A powerful tornado hit the Piana di Catania along a path of 16 km killing 2 people and injuring 100 others.[
]citation needed"
Belarus Tornado Outbreak;Tornado;1969-05-31 00:00:00;Belarus;N/A;53;28;"A powerful tornado outbreak produced 3 F2 and 1 F1 tornadoes across Belarus. The strongest one struck Svetlahorsk (Gomel Region).[
]citation needed"
Nicosia, Cyprus tornadoes;Tornado;1969-12-22 00:00:00;Cyprus;N/A;35;33;"Waterspouts (probably tornadic) came ashore.[
]citation needed"
Russia Tornado Outbreak;Tornado;1970-07-06 00:00:00;Russia;N/A;60;100;"6 F1 long-track tornadoes struck the area 400 km S of Moscow. 1 of them had a path length of 100 km.[
]citation needed"
Venice and Padua, Italy tornado outbreak;Tornado;1970-09-11 00:00:00;Italy;Veneto, Italy;45.5;11.75;"A violent tornado invests the outskirts of Padua and Venice causing heavy damage and killing 36 people. 21 of the victims were on a ferry on the island of St. Helena when the tornado hit. 12 people died in a campsite in Ca'Savio, where some cars were found more than 200 meters away. The F4 tornado traveled 70 km.[
]citation needed"
La Rochelle, France tornado;Tornado;1971-01-25 00:00:00;France;N/A;46;2;"An F4 tornado struck La Rochelle traveling for 2.9 km causing severe damage in a 50m wide area. 1 person died and another 12 were injured.[
]citation needed"
L'Abbaye, Switzerland tornado;Tornado;1971-10-18 00:00:00;Switzerland;N/A;47.00016;8.01427;"A powerful F4 tornado struck Bois d'Amont and L'Abbaye causing severe damage to houses, cars and completely destroying sections of forests. The path of the storm is similar to the path of the 1890 F4 tornado.[
]citation needed"
Kiel, Germany tornado;Tornado;1971-10-18 00:00:00;Germany;N/A;51.5;10.5;"An F3 tornado struck Kiel killing 1 person and injuring 13 others.[
]citation needed"
Ameland Island, Netherlands tornado;Tornado;1972-08-11 00:00:00;Netherlands;Friesland, Netherlands;53.16667;5.83333;"[
]citation needed"
Northern France tornado Outbreak;Tornado;1973-09-20 00:00:00;France;N/A;46;2;"3 F3 tornadoes struck Fleury-les-Aubray, Sancy-les-Provins and Grainville-Langannerie killing 2 people and injuring 14 others.[
]citation needed"
"Nizhny Novgorod tornado
";Tornado;1974-07-03 00:00:00;Russia;Nizhny Novgorod, Russia;56.32867;44.00205;"South-East of the village Dubenki, about 17:00 suddenly formed a F3 tornado. Passing along the Volga River, accompanied by a thunderstorm, rain and hail, the tornado broke the equipment of the weather station «Myza» and came to a residential area of a new building in the Prioksky City District. All buildings in the path of the tornado were severely damaged. Аlso, the roof of the Annunciation monastery was torn off. Crossing the Volga, in the port of Spit of Nizhny Novgorod tornado dropped a 240-ton crane into the river, tore off the hatch covers of a cargo steamer standing in the port, scattered the goods prepared for shipment. Then the whirlwind went into the field and disappeared near lake Kislenko. After the tornado, a squally wind swept through the city. As a result — a lot of material damage and possibly human casualties.
"
Christ's Ascension Day outbreak;Tornado;1979-05-24 00:00:00;Germany;N/A;51.5;10.5;"A major outbreak struck parts of Eastern Germany with one violent F4 tornado near Bad Liebenwerda (Brandenburg) where harvesters were sent flying.[
]citation needed"
Ukraine tornado outbreak;Tornado;1980-06-02 00:00:00;Ukraine;N/A;49;32;"4 tornadoes were confirmed. 3 of them were of F2 strength, while the first tornado was an F1.[
]citation needed"
Mid June outbreak;Tornado;1980-06-14 00:00:00;Germany;N/A;51.5;10.5;"Some tornadoes struck the Central German states of Thuringia and Saxony-Anhalt. A camp site was severely damaged with some fatalities. The tornadoes were classified as F1-F2 strength.[
]citation needed"
Mid June outbreak;Tornado;1980-06-15 00:00:00;Germany;N/A;51.5;10.5;"Some tornadoes struck the Central German states of Thuringia and Saxony-Anhalt. A camp site was severely damaged with some fatalities. The tornadoes were classified as F1-F2 strength.[
]citation needed"
1981 Lithuania tornado;Tornado;1981-05-29 00:00:00;Lithuania;N/A;55.41667;24;"An F2 tornado travelled for 6 km with a path 100-300m wide. This was the strongest known tornado that hit the country. One fatality documented.
"
Moerdijk, Netherlands tornado;Tornado;1981-10-06 00:00:00;Netherlands;North Brabant, Netherlands;51.44083;5.47778;"NLM CityHopper Flight 431 encountered tornado shortly after takeoff and crashed.
"
1981 United Kingdom tornado outbreak;Tornado;1981-11-23 00:00:00;United Kingdom;N/A;54.75844;-2.69531;Largest known European outbreak though predominately weak tornadoes.
Levier, France tornado;Tornado;1982-06-02 00:00:00;France;N/A;46;2;"A powerful F4 tornado struck Levier causing severe damage along a 3 km path.[
]citation needed"
France and Belgium tornadoes;Tornado;1982-09-20 00:00:00;France,Belgium;N/A;46,50.75;2,4.5;"3 tornadoes were confirmed, 1 F2 and the others 2 were classified as F3 strength. A strong F3 tornado struck Belgium injuring 3 people on a 31 km path. Possibly the strongest tornado event in Belgium.[
]citation needed"
1984 Ivanovo-Yaroslavl tornado outbreak;Tornado;1984-06-09 00:00:00;Russia;N/A;60;100;"The most deadly tornado outbreak in Russia. Two violent tornadoes touched down, an F5 (where is the evidence, if the speed of the Ivanovo tornado was about 100 meters per second?), an F4, and an F3 were in the outbreak that damaged 36 cities and villages, including Tver and Kostroma, in a wide area north of Moscow. Almost three F2 tornadoes was fixed over no-population areas.[
]citation needed"
Shel'vov;Tornado;1987-07-20 00:00:00;Ukraine;N/A;49;32;"F4 tornado that destroyed the town of Shel'vov.[
]citation needed"
Ameland Island, Netherlands tornado;Tornado;1992-08-17 00:00:00;Netherlands;Friesland, Netherlands;53.16667;5.83333;"[
]citation needed"
Sigüenza, Spain tornado;Tornado;1993-05-24 00:00:00;Spain;Siguenza, Spain;41.06892;-2.64308;"F2 damage in a path across the town.[
]citation needed"
Northern Italy outbreak;Tornado;1994-08-31 00:00:00;Italy;N/A;42.83333;12.83333;"Between 31 August and 2 September 9 tornadoes struck Liguria (F3) and the Po valley with fatalities and damages; on 2 September two other tornadoes in Pordenone and Brescia; on 14 September a violent cold front entered northern Italy producing 12 tornadoes all over the northern regions.
"
Northern Italy outbreak;Tornado;1994-09-01 00:00:00;Italy;N/A;42.83333;12.83333;"Between 31 August and 2 September 9 tornadoes struck Liguria (F3) and the Po valley with fatalities and damages; on 2 September two other tornadoes in Pordenone and Brescia; on 14 September a violent cold front entered northern Italy producing 12 tornadoes all over the northern regions.
"
Northern Italy outbreak;Tornado;1994-09-02 00:00:00;Italy;N/A;42.83333;12.83333;"Between 31 August and 2 September 9 tornadoes struck Liguria (F3) and the Po valley with fatalities and damages; on 2 September two other tornadoes in Pordenone and Brescia; on 14 September a violent cold front entered northern Italy producing 12 tornadoes all over the northern regions.
"
Northern Italy outbreak;Tornado;1994-09-03 00:00:00;Italy;N/A;42.83333;12.83333;"Between 31 August and 2 September 9 tornadoes struck Liguria (F3) and the Po valley with fatalities and damages; on 2 September two other tornadoes in Pordenone and Brescia; on 14 September a violent cold front entered northern Italy producing 12 tornadoes all over the northern regions.
"
Northern Italy outbreak;Tornado;1994-09-04 00:00:00;Italy;N/A;42.83333;12.83333;"Between 31 August and 2 September 9 tornadoes struck Liguria (F3) and the Po valley with fatalities and damages; on 2 September two other tornadoes in Pordenone and Brescia; on 14 September a violent cold front entered northern Italy producing 12 tornadoes all over the northern regions.
"
Northern Italy outbreak;Tornado;1994-09-05 00:00:00;Italy;N/A;42.83333;12.83333;"Between 31 August and 2 September 9 tornadoes struck Liguria (F3) and the Po valley with fatalities and damages; on 2 September two other tornadoes in Pordenone and Brescia; on 14 September a violent cold front entered northern Italy producing 12 tornadoes all over the northern regions.
"
Northern Italy outbreak;Tornado;1994-09-06 00:00:00;Italy;N/A;42.83333;12.83333;"Between 31 August and 2 September 9 tornadoes struck Liguria (F3) and the Po valley with fatalities and damages; on 2 September two other tornadoes in Pordenone and Brescia; on 14 September a violent cold front entered northern Italy producing 12 tornadoes all over the northern regions.
"
Northern Italy outbreak;Tornado;1994-09-07 00:00:00;Italy;N/A;42.83333;12.83333;"Between 31 August and 2 September 9 tornadoes struck Liguria (F3) and the Po valley with fatalities and damages; on 2 September two other tornadoes in Pordenone and Brescia; on 14 September a violent cold front entered northern Italy producing 12 tornadoes all over the northern regions.
"
Northern Italy outbreak;Tornado;1994-09-08 00:00:00;Italy;N/A;42.83333;12.83333;"Between 31 August and 2 September 9 tornadoes struck Liguria (F3) and the Po valley with fatalities and damages; on 2 September two other tornadoes in Pordenone and Brescia; on 14 September a violent cold front entered northern Italy producing 12 tornadoes all over the northern regions.
"
