Event Name;Event Type;Event Date;Affected Countries;Location;Country Coordinates(Lat);Country Coordinates(Long);Event Description
1997 Central European flood;Flood;1997-07-22 00:00:00;Czech Republic, Poland;N/A;49.75,52;15,20;"extensive rain periods
"
Jarovnice flood;Flood;1998-07-20 00:00:00;Slovakia;N/A;48.66667;19.5;"heavy rainfall plus collapse of dam formed by debris
"
1999 Pentecost flood;Flood;1999-05-22 00:00:00;Austria, Germany;N/A;47.33333,51.5;13.33333,10.5;"heavy rainfall plus Alpine meltwater
"
1999 Blayais Nuclear Power Plant flood;Flood;1999-12-27 00:00:00;France;N/A;46;2;"Storm tide
"
Autumn 2000 western Europe floods;Flood;2000-10-28 00:00:00;United Kingdom, Italy, France, Switzerland, Spain, Netherlands, Ireland, Denmark, Norway, Slovenia;N/A;54.75844,42.83333,46,47.00016,40,52.25,53,56,62,46.08333;-2.69531,12.83333,2,8.01427,-4,5.75,-8,10,10,15;"heavy rains
"
Autumn 2000 western Europe floods;Flood;2000-10-29 00:00:00;United Kingdom, Italy, France, Switzerland, Spain, Netherlands, Ireland, Denmark, Norway, Slovenia;N/A;54.75844,42.83333,46,47.00016,40,52.25,53,56,62,46.08333;-2.69531,12.83333,2,8.01427,-4,5.75,-8,10,10,15;"heavy rains
"
Autumn 2000 western Europe floods;Flood;2000-10-30 00:00:00;United Kingdom, Italy, France, Switzerland, Spain, Netherlands, Ireland, Denmark, Norway, Slovenia;N/A;54.75844,42.83333,46,47.00016,40,52.25,53,56,62,46.08333;-2.69531,12.83333,2,8.01427,-4,5.75,-8,10,10,15;"heavy rains
"
Autumn 2000 western Europe floods;Flood;2000-10-31 00:00:00;United Kingdom, Italy, France, Switzerland, Spain, Netherlands, Ireland, Denmark, Norway, Slovenia;N/A;54.75844,42.83333,46,47.00016,40,52.25,53,56,62,46.08333;-2.69531,12.83333,2,8.01427,-4,5.75,-8,10,10,15;"heavy rains
"
Autumn 2000 western Europe floods;Flood;2000-11-01 00:00:00;United Kingdom, Italy, France, Switzerland, Spain, Netherlands, Ireland, Denmark, Norway, Slovenia;N/A;54.75844,42.83333,46,47.00016,40,52.25,53,56,62,46.08333;-2.69531,12.83333,2,8.01427,-4,5.75,-8,10,10,15;"heavy rains
"
Autumn 2000 western Europe floods;Flood;2000-11-02 00:00:00;United Kingdom, Italy, France, Switzerland, Spain, Netherlands, Ireland, Denmark, Norway, Slovenia;N/A;54.75844,42.83333,46,47.00016,40,52.25,53,56,62,46.08333;-2.69531,12.83333,2,8.01427,-4,5.75,-8,10,10,15;"heavy rains
"
Autumn 2000 western Europe floods;Flood;2000-11-03 00:00:00;United Kingdom, Italy, France, Switzerland, Spain, Netherlands, Ireland, Denmark, Norway, Slovenia;N/A;54.75844,42.83333,46,47.00016,40,52.25,53,56,62,46.08333;-2.69531,12.83333,2,8.01427,-4,5.75,-8,10,10,15;"heavy rains
"
Autumn 2000 western Europe floods;Flood;2000-11-04 00:00:00;United Kingdom, Italy, France, Switzerland, Spain, Netherlands, Ireland, Denmark, Norway, Slovenia;N/A;54.75844,42.83333,46,47.00016,40,52.25,53,56,62,46.08333;-2.69531,12.83333,2,8.01427,-4,5.75,-8,10,10,15;"heavy rains
"
2002 European floods;Flood;2002-08-12 00:00:00;Czech Republic,Austria,Germany,Slovakia,Poland,Hungary,Romania,Croatia;N/A;49.75,47.33333,51.5,48.66667,52,47,46,45.16667;15,13.33333,10.5,19.5,20,20,25,15.5;"heavy rains
"
2002 European floods;Flood;2002-08-13 00:00:00;Czech Republic,Austria,Germany,Slovakia,Poland,Hungary,Romania,Croatia;N/A;49.75,47.33333,51.5,48.66667,52,47,46,45.16667;15,13.33333,10.5,19.5,20,20,25,15.5;"heavy rains
"
2002 European floods;Flood;2002-08-14 00:00:00;Czech Republic,Austria,Germany,Slovakia,Poland,Hungary,Romania,Croatia;N/A;49.75,47.33333,51.5,48.66667,52,47,46,45.16667;15,13.33333,10.5,19.5,20,20,25,15.5;"heavy rains
"
2002 Glasgow floods;Flood;2002-07-29 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rains
"
2002 Glasgow floods;Flood;2002-07-30 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rains
"
2002 Glasgow floods;Flood;2002-07-31 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rains
"
2002 Glasgow floods;Flood;2002-08-01 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rains
"
2002 Glasgow floods;Flood;2002-08-02 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rains
"
2002 Glasgow floods;Flood;2002-08-03 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rains
"
Boscastle flood of 2004;Flood;2004-08-16 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rains
"
2005 European floods;Flood;2005-08-24 00:00:00;Romania, Switzerland, Austria and Germany;N/A;46,47.00016,-44.91837;25,8.01427,168.82007;"Record rain
"
2005 European floods;Flood;2005-08-25 00:00:00;Romania, Switzerland, Austria and Germany;N/A;46,47.00016,-44.91837;25,8.01427,168.82007;"Record rain
"
2006 European floods;Flood;2006-04-26 00:00:00;Bulgaria, Romania, Serbia, Macedonia, Germany, Czech Republic, Hungary;N/A;42.66667,46,44.81892,41.66667,51.5,49.75,47;25.25,25,20.45998,21.75,10.5,15,20;"poorly constructed dikes and levees and an unusual long and hard winter
"
North Sea flood of 2007;Flood;2007-11-08 00:00:00;Belgium, Denmark, Germany, Netherlands, Norway and United Kingdom;N/A;50.75,56,51.5,52.25,-77.846;4.5,10,10.5,5.75,166.676;"storm tide
"
North Sea flood of 2007;Flood;2007-11-09 00:00:00;Belgium, Denmark, Germany, Netherlands, Norway and United Kingdom;N/A;50.75,56,51.5,52.25,-77.846;4.5,10,10.5,5.75,166.676;"storm tide
"
2007 United Kingdom floods;Flood;2007-06-01 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-06-02 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-06-03 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-06-04 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-06-05 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-06-06 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-06-07 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-06-08 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-06-09 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-06-10 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-06-11 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-06-12 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-06-13 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-06-14 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-06-15 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-06-16 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-06-17 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-06-18 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-06-19 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-06-20 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-06-21 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-06-22 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-06-23 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-06-24 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-06-25 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-06-26 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-06-27 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-06-28 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-06-29 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-06-30 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-07-01 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-07-02 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-07-03 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-07-04 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-07-05 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-07-06 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-07-07 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-07-08 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-07-09 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-07-10 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-07-11 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-07-12 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-07-13 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-07-14 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-07-15 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-07-16 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-07-17 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-07-18 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-07-19 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-07-20 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-07-21 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-07-22 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-07-23 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-07-24 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2007 United Kingdom floods;Flood;2007-07-25 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2008 Irish flash floods;Flood;2008-08-01 00:00:00;Ireland;N/A;53;-8;"Heavy rain
"
2008 Irish flash floods;Flood;2008-08-02 00:00:00;Ireland;N/A;53;-8;"Heavy rain
"
2008 Irish flash floods;Flood;2008-08-03 00:00:00;Ireland;N/A;53;-8;"Heavy rain
"
2008 Irish flash floods;Flood;2008-08-04 00:00:00;Ireland;N/A;53;-8;"Heavy rain
"
2008 Irish flash floods;Flood;2008-08-05 00:00:00;Ireland;N/A;53;-8;"Heavy rain
"
2008 Irish flash floods;Flood;2008-08-06 00:00:00;Ireland;N/A;53;-8;"Heavy rain
"
2008 Irish flash floods;Flood;2008-08-07 00:00:00;Ireland;N/A;53;-8;"Heavy rain
"
2008 Irish flash floods;Flood;2008-08-08 00:00:00;Ireland;N/A;53;-8;"Heavy rain
"
2008 Irish flash floods;Flood;2008-08-09 00:00:00;Ireland;N/A;53;-8;"Heavy rain
"
2008 Irish flash floods;Flood;2008-08-10 00:00:00;Ireland;N/A;53;-8;"Heavy rain
"
2008 Irish flash floods;Flood;2008-08-11 00:00:00;Ireland;N/A;53;-8;"Heavy rain
"
2008 Irish flash floods;Flood;2008-08-12 00:00:00;Ireland;N/A;53;-8;"Heavy rain
"
2008 Irish flash floods;Flood;2008-08-13 00:00:00;Ireland;N/A;53;-8;"Heavy rain
"
2008 Irish flash floods;Flood;2008-08-14 00:00:00;Ireland;N/A;53;-8;"Heavy rain
"
2008 Irish flash floods;Flood;2008-08-15 00:00:00;Ireland;N/A;53;-8;"Heavy rain
"
2008 Irish flash floods;Flood;2008-08-16 00:00:00;Ireland;N/A;53;-8;"Heavy rain
"
2008 Irish flash floods;Flood;2008-08-17 00:00:00;Ireland;N/A;53;-8;"Heavy rain
"
2008 Irish flash floods;Flood;2008-08-18 00:00:00;Ireland;N/A;53;-8;"Heavy rain
"
2008 Irish flash floods;Flood;2008-08-19 00:00:00;Ireland;N/A;53;-8;"Heavy rain
"
2008 Morpeth floods;Flood;2008-09-06 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2009 Great Britain and Ireland floods;Flood;2009-11-01 00:00:00;United Kingdom, Republic of Ireland;N/A;54.75844,53;-2.69531,-8;"heavy rains
"
2009 Great Britain and Ireland floods;Flood;2009-11-02 00:00:00;United Kingdom, Republic of Ireland;N/A;54.75844,53;-2.69531,-8;"heavy rains
"
2009 Great Britain and Ireland floods;Flood;2009-11-03 00:00:00;United Kingdom, Republic of Ireland;N/A;54.75844,53;-2.69531,-8;"heavy rains
"
2009 Great Britain and Ireland floods;Flood;2009-11-04 00:00:00;United Kingdom, Republic of Ireland;N/A;54.75844,53;-2.69531,-8;"heavy rains
"
2009 Great Britain and Ireland floods;Flood;2009-11-05 00:00:00;United Kingdom, Republic of Ireland;N/A;54.75844,53;-2.69531,-8;"heavy rains
"
2009 Great Britain and Ireland floods;Flood;2009-11-06 00:00:00;United Kingdom, Republic of Ireland;N/A;54.75844,53;-2.69531,-8;"heavy rains
"
2009 Great Britain and Ireland floods;Flood;2009-11-07 00:00:00;United Kingdom, Republic of Ireland;N/A;54.75844,53;-2.69531,-8;"heavy rains
"
2009 Great Britain and Ireland floods;Flood;2009-11-08 00:00:00;United Kingdom, Republic of Ireland;N/A;54.75844,53;-2.69531,-8;"heavy rains
"
2009 Great Britain and Ireland floods;Flood;2009-11-09 00:00:00;United Kingdom, Republic of Ireland;N/A;54.75844,53;-2.69531,-8;"heavy rains
"
2009 Great Britain and Ireland floods;Flood;2009-11-10 00:00:00;United Kingdom, Republic of Ireland;N/A;54.75844,53;-2.69531,-8;"heavy rains
"
2009 Great Britain and Ireland floods;Flood;2009-11-11 00:00:00;United Kingdom, Republic of Ireland;N/A;54.75844,53;-2.69531,-8;"heavy rains
"
2009 Great Britain and Ireland floods;Flood;2009-11-12 00:00:00;United Kingdom, Republic of Ireland;N/A;54.75844,53;-2.69531,-8;"heavy rains
"
2009 Great Britain and Ireland floods;Flood;2009-11-13 00:00:00;United Kingdom, Republic of Ireland;N/A;54.75844,53;-2.69531,-8;"heavy rains
"
2009 Great Britain and Ireland floods;Flood;2009-11-14 00:00:00;United Kingdom, Republic of Ireland;N/A;54.75844,53;-2.69531,-8;"heavy rains
"
2009 Great Britain and Ireland floods;Flood;2009-11-15 00:00:00;United Kingdom, Republic of Ireland;N/A;54.75844,53;-2.69531,-8;"heavy rains
"
2009 Great Britain and Ireland floods;Flood;2009-11-16 00:00:00;United Kingdom, Republic of Ireland;N/A;54.75844,53;-2.69531,-8;"heavy rains
"
2009 Great Britain and Ireland floods;Flood;2009-11-17 00:00:00;United Kingdom, Republic of Ireland;N/A;54.75844,53;-2.69531,-8;"heavy rains
"
2009 Great Britain and Ireland floods;Flood;2009-11-18 00:00:00;United Kingdom, Republic of Ireland;N/A;54.75844,53;-2.69531,-8;"heavy rains
"
2009 Great Britain and Ireland floods;Flood;2009-11-19 00:00:00;United Kingdom, Republic of Ireland;N/A;54.75844,53;-2.69531,-8;"heavy rains
"
2009 Great Britain and Ireland floods;Flood;2009-11-20 00:00:00;United Kingdom, Republic of Ireland;N/A;54.75844,53;-2.69531,-8;"heavy rains
"
2009 Great Britain and Ireland floods;Flood;2009-11-21 00:00:00;United Kingdom, Republic of Ireland;N/A;54.75844,53;-2.69531,-8;"heavy rains
"
2009 Great Britain and Ireland floods;Flood;2009-11-22 00:00:00;United Kingdom, Republic of Ireland;N/A;54.75844,53;-2.69531,-8;"heavy rains
"
2009 Great Britain and Ireland floods;Flood;2009-11-23 00:00:00;United Kingdom, Republic of Ireland;N/A;54.75844,53;-2.69531,-8;"heavy rains
"
2009 Great Britain and Ireland floods;Flood;2009-11-24 00:00:00;United Kingdom, Republic of Ireland;N/A;54.75844,53;-2.69531,-8;"heavy rains
"
2009 Great Britain and Ireland floods;Flood;2009-11-25 00:00:00;United Kingdom, Republic of Ireland;N/A;54.75844,53;-2.69531,-8;"heavy rains
"
2009 Great Britain and Ireland floods;Flood;2009-11-26 00:00:00;United Kingdom, Republic of Ireland;N/A;54.75844,53;-2.69531,-8;"heavy rains
"
2009 Great Britain and Ireland floods;Flood;2009-11-27 00:00:00;United Kingdom, Republic of Ireland;N/A;54.75844,53;-2.69531,-8;"heavy rains
"
2009 Great Britain and Ireland floods;Flood;2009-11-28 00:00:00;United Kingdom, Republic of Ireland;N/A;54.75844,53;-2.69531,-8;"heavy rains
"
2009 Great Britain and Ireland floods;Flood;2009-11-29 00:00:00;United Kingdom, Republic of Ireland;N/A;54.75844,53;-2.69531,-8;"heavy rains
"
2009 Great Britain and Ireland floods;Flood;2009-11-30 00:00:00;United Kingdom, Republic of Ireland;N/A;54.75844,53;-2.69531,-8;"heavy rains
"
2009 Great Britain and Ireland floods;Flood;2009-12-01 00:00:00;United Kingdom, Republic of Ireland;N/A;54.75844,53;-2.69531,-8;"heavy rains
"
2009 Great Britain and Ireland floods;Flood;2009-12-02 00:00:00;United Kingdom, Republic of Ireland;N/A;54.75844,53;-2.69531,-8;"heavy rains
"
2009 Great Britain and Ireland floods;Flood;2009-12-03 00:00:00;United Kingdom, Republic of Ireland;N/A;54.75844,53;-2.69531,-8;"heavy rains
"
2009 Great Britain and Ireland floods;Flood;2009-12-04 00:00:00;United Kingdom, Republic of Ireland;N/A;54.75844,53;-2.69531,-8;"heavy rains
"
2009 European floods;Flood;2009-06-19 00:00:00;Austria, Czech Republic, Hungary, Poland, Romania, Slovakia, Turkey;N/A;47.33333,49.75,47,52,46,48.66667,39;13.33333,15,20,20,25,19.5,35;"heavy rains
"
2009 European floods;Flood;2009-06-20 00:00:00;Austria, Czech Republic, Hungary, Poland, Romania, Slovakia, Turkey;N/A;47.33333,49.75,47,52,46,48.66667,39;13.33333,15,20,20,25,19.5,35;"heavy rains
"
2009 European floods;Flood;2009-06-21 00:00:00;Austria, Czech Republic, Hungary, Poland, Romania, Slovakia, Turkey;N/A;47.33333,49.75,47,52,46,48.66667,39;13.33333,15,20,20,25,19.5,35;"heavy rains
"
2009 European floods;Flood;2009-06-22 00:00:00;Austria, Czech Republic, Hungary, Poland, Romania, Slovakia, Turkey;N/A;47.33333,49.75,47,52,46,48.66667,39;13.33333,15,20,20,25,19.5,35;"heavy rains
"
2009 European floods;Flood;2009-06-23 00:00:00;Austria, Czech Republic, Hungary, Poland, Romania, Slovakia, Turkey;N/A;47.33333,49.75,47,52,46,48.66667,39;13.33333,15,20,20,25,19.5,35;"heavy rains
"
2009 European floods;Flood;2009-06-24 00:00:00;Austria, Czech Republic, Hungary, Poland, Romania, Slovakia, Turkey;N/A;47.33333,49.75,47,52,46,48.66667,39;13.33333,15,20,20,25,19.5,35;"heavy rains
"
2009 European floods;Flood;2009-06-25 00:00:00;Austria, Czech Republic, Hungary, Poland, Romania, Slovakia, Turkey;N/A;47.33333,49.75,47,52,46,48.66667,39;13.33333,15,20,20,25,19.5,35;"heavy rains
"
2009 European floods;Flood;2009-06-26 00:00:00;Austria, Czech Republic, Hungary, Poland, Romania, Slovakia, Turkey;N/A;47.33333,49.75,47,52,46,48.66667,39;13.33333,15,20,20,25,19.5,35;"heavy rains
"
2009 European floods;Flood;2009-06-27 00:00:00;Austria, Czech Republic, Hungary, Poland, Romania, Slovakia, Turkey;N/A;47.33333,49.75,47,52,46,48.66667,39;13.33333,15,20,20,25,19.5,35;"heavy rains
"
2009 European floods;Flood;2009-06-28 00:00:00;Austria, Czech Republic, Hungary, Poland, Romania, Slovakia, Turkey;N/A;47.33333,49.75,47,52,46,48.66667,39;13.33333,15,20,20,25,19.5,35;"heavy rains
"
2009 European floods;Flood;2009-06-29 00:00:00;Austria, Czech Republic, Hungary, Poland, Romania, Slovakia, Turkey;N/A;47.33333,49.75,47,52,46,48.66667,39;13.33333,15,20,20,25,19.5,35;"heavy rains
"
2009 European floods;Flood;2009-06-30 00:00:00;Austria, Czech Republic, Hungary, Poland, Romania, Slovakia, Turkey;N/A;47.33333,49.75,47,52,46,48.66667,39;13.33333,15,20,20,25,19.5,35;"heavy rains
"
2009 Workington floods;Flood;2009-11-19 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2009 Workington floods;Flood;2009-11-20 00:00:00;United Kingdom;N/A;54.75844;-2.69531;"heavy rain
"
2009 Messina floods and mudslides;Flood;2009-10-01 00:00:00;Italy;N/A;42.83333;12.83333;"Heavy rain
"
2009 Messina floods and mudslides;Flood;2009-10-02 00:00:00;Italy;N/A;42.83333;12.83333;"Heavy rain
"
2009 Turkish flash floods;Flood;2009-09-07 00:00:00;Turkey;N/A;39;35;"Heavy rain
"
2009 Turkish flash floods;Flood;2009-09-08 00:00:00;Turkey;N/A;39;35;"Heavy rain
"
2009 Turkish flash floods;Flood;2009-09-09 00:00:00;Turkey;N/A;39;35;"Heavy rain
"
2009 Turkish flash floods;Flood;2009-09-10 00:00:00;Turkey;N/A;39;35;"Heavy rain
"
2010 Central European floods;Flood;2010-05-18 00:00:00;Poland, Hungary;N/A;52,47;20,20;"Heavy rain
"
2010 Central European floods;Flood;2010-05-19 00:00:00;Poland, Hungary;N/A;52,47;20,20;"Heavy rain
"
2010 Central European floods;Flood;2010-05-20 00:00:00;Poland, Hungary;N/A;52,47;20,20;"Heavy rain
"
2010 Central European floods;Flood;2010-05-21 00:00:00;Poland, Hungary;N/A;52,47;20,20;"Heavy rain
"
2010 Central European floods;Flood;2010-05-22 00:00:00;Poland, Hungary;N/A;52,47;20,20;"Heavy rain
"
2010 Central European floods;Flood;2010-05-23 00:00:00;Poland, Hungary;N/A;52,47;20,20;"Heavy rain
"
2010 Central European floods;Flood;2010-05-24 00:00:00;Poland, Hungary;N/A;52,47;20,20;"Heavy rain
"
2010 Central European floods;Flood;2010-05-25 00:00:00;Poland, Hungary;N/A;52,47;20,20;"Heavy rain
"
2010 Slovenia floods;Flood;2010-09-17 00:00:00;Slovenia;N/A;46.08333;15;"Heavy rain
"
2010 Slovenia floods;Flood;2010-09-18 00:00:00;Slovenia;N/A;46.08333;15;"Heavy rain
"
2010 Slovenia floods;Flood;2010-09-19 00:00:00;Slovenia;N/A;46.08333;15;"Heavy rain
"
2010 Var floods;Flood;2010-06-15 00:00:00;France;N/A;46;2;"Heavy rain
"
2010 Var floods;Flood;2010-06-16 00:00:00;France;N/A;46;2;"Heavy rain
"
2010 Albania floods;Flood;2010-12-25 00:00:00;Albania;N/A;41;20;"Heavy rain
"
2011 European floods;Flood;2011-10-24 00:00:00;Ireland, Italy, France;N/A;53,42.83333,46;-8,12.83333,2;"Heavy rain
"
Cyclone Berit;Flood;2011-11-22 00:00:00;England;N/A;44;-71;"Storm surge
"
Cyclone Berit;Flood;2011-11-23 00:00:00;England;N/A;44;-71;"Storm surge
"
Cyclone Berit;Flood;2011-11-24 00:00:00;England;N/A;44;-71;"Storm surge
"
Cyclone Berit;Flood;2011-11-25 00:00:00;England;N/A;44;-71;"Storm surge
"
Cyclone Berit;Flood;2011-11-26 00:00:00;England;N/A;44;-71;"Storm surge
"
